Device,Model,Metric,Mean_ONNX,SD_ONNX,Mean_CPP,SD_CPP,Ratio_ONNX_over_CPP,CI95_Low,CI95_High,t_statistic,df,p_value,p_value_holm_corrected,Cohens_d
Raspberry Pi 5,Random Forest,latency,0.0214,0.0139,0.001,0.0002,21.4,21.11680400405871,21.6869939178286,450.74596968002055,11878.13520907353,< 1e-300,< 1e-298,2.075321636881164
Raspberry Pi 5,Random Forest,power,7476.3182,355.5003,4201.4783,109.8751,1.779449438070405,1.7775576453340447,1.7813432441759285,1061.9759927048651,15540.868404953084,< 1e-300,< 1e-298,12.446690322124523
Raspberry Pi 5,SVM,latency,0.2193,0.0225,5.354,0.0541,0.04096002988419873,0.04087733833358735,0.04104288871313157,-3099.220355625367,10192.952655863408,< 1e-300,< 1e-298,-123.93368857160063
Raspberry Pi 5,SVM,power,4674.2857,66.5501,4358.9711,47.8565,1.0723369329060246,1.0719591047912904,1.0727148941919613,388.4568153657943,18784.125557521213,< 1e-300,< 1e-298,5.440033495333765
Raspberry Pi 5,XGBoost,latency,0.0294,0.0175,0.0116,0.0021,2.53448275862069,2.5037615865434955,2.5655808796928956,149.4777883045166,11833.119477681854,< 1e-300,< 1e-298,1.4282108603101145
Raspberry Pi 5,XGBoost,power,7115.0,399.4177,4513.75,204.1926,1.5762946552201607,1.574068685979147,1.5785237723155872,631.2070060109877,19133.39412801283,< 1e-300,< 1e-298,8.20071426815005
Raspberry Pi Zero 2 W,LightGBM,latency,0.3612,0.2533,0.0815,0.0116,4.431901840490798,4.370171643979078,4.494503997527596,208.06146173667057,10821.386754019484,< 1e-300,< 1e-298,1.5599739425889911
Raspberry Pi Zero 2 W,LightGBM,power,2794.5897,27.8926,1379.8975,31.5611,2.025215423609362,2.0242250285716903,2.026206303218818,2827.798673839806,13673.920052635669,< 1e-300,< 1e-298,47.49937425241374
Raspberry Pi Zero 2 W,Random Forest,latency,0.1973,0.1156,0.0095,0.0007,20.76842105263158,20.529403615457785,21.010221295206996,513.6843018467129,10315.202512967857,< 1e-300,< 1e-298,2.2974432345119165
Raspberry Pi Zero 2 W,Random Forest,power,2848.5659,70.0784,1177.849,8.6439,2.418447441055687,2.417230724758549,2.4196647697885916,3439.9600325851616,11764.572356953217,< 1e-300,< 1e-298,33.46222608149454
Raspberry Pi Zero 2 W,SVM,latency,2.3467,0.0962,36.0464,0.074,0.06510220160681787,0.06504984363994093,0.06515460171609731,-6655.5969818150925,10049.152025690826,< 1e-300,< 1e-298,-392.6749280476183
Raspberry Pi Zero 2 W,SVM,power,1295.4716,61.6948,1174.7262,64.7474,1.1027859938767008,1.101212609865549,1.1043616258981135,134.31872299730722,19585.631545071148,< 1e-300,< 1e-298,1.9093344980478528
Raspberry Pi Zero 2 W,XGBoost,latency,0.4551,0.2698,0.0764,0.0125,5.956806282722513,5.885427859525234,6.029050382879862,290.16841090534956,11513.389032469133,< 1e-300,< 1e-298,1.9829088221071205
Raspberry Pi Zero 2 W,XGBoost,power,2757.9712,78.6043,1316.3602,38.0696,2.095149336784871,2.0934825316965298,2.096817468962959,1821.558920848006,19993.73027992216,< 1e-300,< 1e-298,23.34316413753881
